GMLID;Localisation;ORGANISME;RelevantEmissions;typologie
SPO-FR01001_38;Longlaville-Ecole;ATMO GRAND EST;Fond;périurbaine
SPO-FR01001_8;Longlaville-Ecole;ATMO GRAND EST;Fond;périurbaine
SPO-FR01001_7;Longlaville-Ecole;ATMO GRAND EST;Fond;périurbaine
SPO-FR01001_5;Longlaville-Ecole;ATMO GRAND EST;Fond;périurbaine
SPO-FR01004_38;Distroff;ATMO GRAND EST;Fond;rural regional
SPO-FR01004_8;Distroff;ATMO GRAND EST;Fond;rural regional
SPO-FR01004_7;Distroff;ATMO GRAND EST;Fond;rural regional
SPO-FR01005_10;Hayange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01005_38;Hayange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01005_8;Hayange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01005_5;Hayange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01005_1;Hayange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01006_38;Florange;ATMO GRAND EST;Fond;périurbaine
SPO-FR01006_8;Florange;ATMO GRAND EST;Fond;périurbaine
SPO-FR01006_5;Florange;ATMO GRAND EST;Fond;périurbaine
SPO-FR01006_1;Florange;ATMO GRAND EST;Fond;périurbaine
SPO-FR01009_5029;Gandrange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01009_5610;Gandrange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01009_5617;Gandrange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01009_5381;Gandrange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01009_5623;Gandrange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01009_5759;Gandrange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01009_5626;Gandrange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01009_5406;Gandrange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01009_5419;Gandrange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01009_5655;Gandrange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01009_5;Gandrange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01009_1;Gandrange;ATMO GRAND EST;industrielle;périurbaine
SPO-FR01010_38;La Maxe;ATMO GRAND EST;Fond;périurbaine
SPO-FR01010_8;La Maxe;ATMO GRAND EST;Fond;périurbaine
SPO-FR01010_5;La Maxe;ATMO GRAND EST;Fond;périurbaine
SPO-FR01010_1;La Maxe;ATMO GRAND EST;Fond;périurbaine
SPO-FR01011_5018;Metz-Centre;ATMO GRAND EST;Fond;Urbaine
SPO-FR01011_5018;Metz-Centre;ATMO GRAND EST;Fond;Urbaine
